Time,NH3,NH4,latitude,longitude
2021-04-09 9:00,9.024683853,11.20431324,43.661829,-79.399094
2021-04-09 10:00,8.477982905,12.23531491,43.661829,-79.399094
2021-04-09 11:00,8.039529658,11.35891707,43.661829,-79.399094
2021-04-09 12:00,7.54500289,9.983181435,43.661829,-79.399094
2021-04-09 13:00,7.763663428,9.99060195,43.661829,-79.399094
2021-04-09 14:00,7.823869164,10.95808549,43.661829,-79.399094
2021-04-09 15:00,7.533263267,9.54765153,43.661829,-79.399094
2021-04-09 16:00,7.513374992,11.087554,43.661829,-79.399094
2021-04-09 17:00,7.45316396,9.849263249,43.661829,-79.399094
2021-04-09 18:00,7.567433288,11.59124022,43.661829,-79.399094
2021-04-09 19:00,8.580602418,11.82628081,43.661829,-79.399094
2021-04-09 20:00,7.784138948,11.39190697,43.661829,-79.399094
2021-04-09 21:00,7.343434894,9.520817984,43.661829,-79.399094
2021-04-09 22:00,7.269786262,10.65412153,43.661829,-79.399094
2021-04-09 23:00,7.92499533,11.55798118,43.661829,-79.399094
2021-04-10 0:00,7.95188934,10.3598026,43.661829,-79.399094
2021-04-10 1:00,7.909107661,9.998777791,43.661829,-79.399094
2021-04-10 2:00,7.829144117,11.09478736,43.661829,-79.399094
2021-04-10 3:00,7.66516342,10.68982375,43.661829,-79.399094
2021-04-10 4:00,7.642374376,10.08340601,43.661829,-79.399094
2021-04-10 5:00,7.296756899,9.435221412,43.661829,-79.399094
2021-04-10 6:00,7.344458435,10.15927495,43.661829,-79.399094
2021-04-10 7:00,7.218199177,8.471896544,43.661829,-79.399094
2021-04-10 8:00,7.157458261,9.234340506,43.661829,-79.399094
2021-04-10 9:00,7.242113016,10.43976438,43.661829,-79.399094
2021-04-10 10:00,7.100484474,10.51293429,43.661829,-79.399094
2021-04-10 11:00,7.196314194,8.623104996,43.661829,-79.399094
2021-04-10 12:00,7.12849388,9.655463893,43.661829,-79.399094
2021-04-10 13:00,7.277337615,10.14347202,43.661829,-79.399094
2021-04-10 14:00,6.892707261,9.901411944,43.661829,-79.399094
2021-04-10 15:00,6.614819388,9.404460924,43.661829,-79.399094
2021-04-10 16:00,6.866110898,10.0641595,43.661829,-79.399094
2021-04-10 17:00,7.300268946,9.449254071,43.661829,-79.399094
2021-04-10 18:00,7.576071366,9.564667191,43.661829,-79.399094
2021-04-10 19:00,7.445146485,12.12384297,43.661829,-79.399094
2021-04-10 20:00,6.207439374,8.497494031,43.661829,-79.399094
2021-04-10 21:00,5.300417136,7.397559143,43.661829,-79.399094
2021-04-10 22:00,5.039411323,5.673345751,43.661829,-79.399094
2021-04-10 23:00,4.883112429,6.260791369,43.661829,-79.399094
2021-04-11 0:00,5.051861871,7.395614376,43.661829,-79.399094
2021-04-11 1:00,6.166319418,8.798818701,43.661829,-79.399094
2021-04-11 2:00,6.652355727,9.143975318,43.661829,-79.399094
2021-04-11 3:00,7.193397119,10.31769547,43.661829,-79.399094
2021-04-11 4:00,7.297103902,10.1157485,43.661829,-79.399094
2021-04-11 5:00,7.692837451,9.451104438,43.661829,-79.399094
2021-04-11 6:00,8.032126198,11.44453604,43.661829,-79.399094
2021-04-11 7:00,8.452647644,11.44025913,43.661829,-79.399094
2021-04-11 8:00,9.227085074,14.10156768,43.661829,-79.399094
2021-04-11 9:00,9.072958734,11.8735684,43.661829,-79.399094
2021-04-11 10:00,8.42352431,11.07171684,43.661829,-79.399094
2021-04-11 11:00,8.738130209,11.59965698,43.661829,-79.399094
2021-04-11 12:00,9.627092352,13.71240809,43.661829,-79.399094
2021-04-11 13:00,11.14526449,15.42342665,43.661829,-79.399094
2021-04-11 14:00,10.96349231,14.92778455,43.661829,-79.399094
2021-04-11 15:00,10.63102923,13.69183499,43.661829,-79.399094
2021-04-11 16:00,10.71808649,15.41720853,43.661829,-79.399094
2021-04-11 17:00,10.22401031,12.52214057,43.661829,-79.399094
2021-04-11 18:00,9.71370927,13.6707593,43.661829,-79.399094
